Address,Case Number,Crime Against,Neighborhood,Occur Date,Occur Month Year,Occur Time,Offense Category,Offense Count,Offense Type
1000 BLOCK OF SE 14TH AVE                                                                                         ,18-906273,Property,Buckman East,4/12/2018,4/1/2018,1830,Larceny Offenses,1,Theft of Motor Vehicle Parts or Accessories
NE GLISAN ST / NE 60TH AVE,18-906303,Property,North Tabor,4/6/2018,4/1/2018,1630,Larceny Offenses,1,Theft From Motor Vehicle
4000 BLOCK OF SE 82ND AVE                                                                                         ,18-906500,Property,Lents,4/26/2018,4/1/2018,1950,Larceny Offenses,1,Shoplifting
900 BLOCK OF N HAYDEN ISLAND DR                                                                                  ,18-138711,Property,Hayden Island,4/26/2018,4/1/2018,2100,Larceny Offenses,1,Theft of Motor Vehicle Parts or Accessories
900 BLOCK OF NW HOYT ST                                                                                          ,18-138996,Property,Pearl,4/18/2018,4/1/2018,1200,Larceny Offenses,1,All Other Larceny
NW RALEIGH ST / NW 17TH AVE,18-906346,Property,Northwest,4/18/2018,4/1/2018,100,Larceny Offenses,1,Theft From Motor Vehicle
5100 BLOCK OF SE 30TH AVE                                                                                         ,18-906415,Property,Reed,4/21/2018,4/1/2018,0,Larceny Offenses,1,All Other Larceny
7200 BLOCK OF N KELLOGG ST                                                                                        ,18-906617,Property,St Johns,4/24/2018,4/1/2018,2200,Larceny Offenses,1,Theft From Motor Vehicle
SW CORBETT AVE / SW GIBBS ST,18-906513,Property,South Portland,4/26/2018,4/1/2018,2200,Fraud Offenses,1,Identity Theft
SW CORBETT AVE / SW GIBBS ST,18-906513,Property,South Portland,4/26/2018,4/1/2018,2200,Larceny Offenses,1,Theft From Motor Vehicle
NE BRYCE ST / NE 32ND AVE,18-134952,Property,Alameda,4/23/2018,4/1/2018,2200,Larceny Offenses,1,Theft From Motor Vehicle
8300 BLOCK OF SE RHINE ST                                                                                         ,18-139714,Property,Lents,4/28/2018,4/1/2018,130,Larceny Offenses,1,Theft From Motor Vehicle
8300 BLOCK OF SE RHINE ST                                                                                         ,18-139714,Property,Lents,4/28/2018,4/1/2018,130,Fraud Offenses,1,Credit Card/ATM Fraud
