Address,Case Number,Crime Against,Neighborhood,Occur Date,Occur Month Year,Occur Time,Offense Category,Offense Count,Offense Type
3500 BLOCK OF NE SANDY BLVD                                                                                       ,18-118431,Property,Laurelhurst,4/9/2018,4/1/2018,700,Larceny Offenses,1,All Other Larceny
NE HALSEY ST / NE 47TH AVE,18-84850,Property,Rose City Park,3/14/2018,3/1/2018,1030,Larceny Offenses,1,Theft From Motor Vehicle
4800 BLOCK OF NE 138TH AVE                                                                                        ,18-85203,Property,Argay,3/14/2018,3/1/2018,1600,Larceny Offenses,1,Theft From Motor Vehicle
7000 BLOCK OF SE 70TH AVE                                                                                         ,18-88121,Property,Brentwood-Darlington,3/16/2018,3/1/2018,2139,Motor Vehicle Theft,1,Motor Vehicle Theft
8300 BLOCK OF SE ASPEN SUMMIT DR                                                                                  ,18-904047,Property,Lents,2/24/2018,2/1/2018,1348,Larceny Offenses,1,All Other Larceny
8300 BLOCK OF SE ASPEN SUMMIT DR                                                                                  ,18-904068,Property,Lents,2/24/2018,2/1/2018,1348,Larceny Offenses,1,All Other Larceny
800 BLOCK OF SE FRANKLIN ST                                                                                      ,18-78873,Property,Brooklyn,3/9/2018,3/1/2018,800,Burglary,1,Burglary
0 BLOCK OF NE 80TH AVE                                                                                         ,18-78928,Property,Montavilla,3/9/2018,3/1/2018,1218,Vandalism,1,Vandalism
100 BLOCK OF NE SAN RAFAEL ST                                                                                    ,18-905043,Property,Eliot,4/1/2018,4/1/2018,2000,Larceny Offenses,1,Theft From Motor Vehicle
4500 BLOCK OF SW IDAHO DR                                                                                         ,18-905102,Property,Hayhurst,4/2/2018,4/1/2018,2330,Larceny Offenses,1,Theft From Motor Vehicle
N LOMBARD ST / N WESTANNA AVE,18-905108,Property,Portsmouth,4/3/2018,4/1/2018,1611,Larceny Offenses,1,Shoplifting
9800 BLOCK OF SE WASHINGTON ST                                                                                    ,18-112410,Property,Hazelwood,4/5/2018,4/1/2018,2019,Larceny Offenses,1,Shoplifting
1500 BLOCK OF SE 127TH AVE                                                                                        ,18-905148,Property,Mill Park,4/4/2018,4/1/2018,100,Larceny Offenses,1,All Other Larceny
4900 BLOCK OF SW 59TH AVE                                                                                         ,18-110579,Property,Bridlemile,4/4/2018,4/1/2018,1159,Burglary,1,Burglary
9900 BLOCK OF SE WASHINGTON ST                                                                                    ,18-111841,Property,Hazelwood,4/5/2018,4/1/2018,1157,Robbery,1,Robbery
4400 BLOCK OF SE 117TH AVE                                                                                        ,18-112131,Property,Powellhurst-Gilbert,4/5/2018,4/1/2018,1754,Larceny Offenses,1,All Other Larceny
900 BLOCK OF SE BELMONT ST                                                                                       ,18-109317,Property,Buckman West,3/4/2018,3/1/2018,1646,Fraud Offenses,1,False Pretenses/Swindle/Confidence Game
3900 BLOCK OF SE 91ST AVE                                                                                         ,18-109843,Property,Lents,4/3/2018,4/1/2018,800,Larceny Offenses,1,Theft From Building
200 BLOCK OF SW CLAY ST                                                                                          ,18-110682,Property,Downtown,4/3/2018,4/1/2018,1930,Fraud Offenses,1,Identity Theft
7900 BLOCK OF SE 76TH PL                                                                                          ,18-103399,Property,Brentwood-Darlington,3/16/2018,3/1/2018,400,Larceny Offenses,1,Theft From Building
7900 BLOCK OF SE 76TH PL                                                                                          ,18-103399,Property,Brentwood-Darlington,3/16/2018,3/1/2018,400,Fraud Offenses,1,Identity Theft
2800 BLOCK OF NE 8TH AVE                                                                                          ,18-112211,Property,Irvington,4/5/2018,4/1/2018,1749,Larceny Offenses,1,Purse-Snatching
4400 BLOCK OF NE 35TH PL                                                                                          ,18-78771,Property,Beaumont-Wilshire,3/2/2018,3/1/2018,2200,Burglary,1,Burglary
12600 BLOCK OF SE DIVISION ST                                                                                      ,18-79154,Property,Mill Park,3/9/2018,3/1/2018,330,Motor Vehicle Theft,1,Motor Vehicle Theft
3400 BLOCK OF SE 112TH AVE                                                                                        ,18-680462,Property,Powellhurst-Gilbert,1/25/2018,1/1/2018,900,Fraud Offenses,1,Credit Card/ATM Fraud
3400 BLOCK OF SE 112TH AVE                                                                                        ,18-680462,Property,Powellhurst-Gilbert,1/25/2018,1/1/2018,900,Fraud Offenses,1,Identity Theft
0 BLOCK OF N CENTER COURT ST                                                                                   ,18-903725,Property,Lloyd,2/24/2018,2/1/2018,2100,Larceny Offenses,1,All Other Larceny
11800 BLOCK OF NE HALSEY ST                                                                                        ,18-903747,Property,Parkrose Heights,3/8/2018,3/1/2018,2100,Vandalism,1,Vandalism
15200 BLOCK OF NE SCHUYLER CT                                                                                      ,18-118773,Property,Wilkes,4/10/2018,4/1/2018,2200,Motor Vehicle Theft,1,Motor Vehicle Theft
8400 BLOCK OF SW 30TH AVE                                                                                         ,18-116970,Property,Multnomah,4/9/2018,4/1/2018,1801,Fraud Offenses,1,Identity Theft
NW 20TH AVE / NW HOYT ST,18-905376,Property,Northwest,4/9/2018,4/1/2018,710,Larceny Offenses,1,Theft From Motor Vehicle
2700 BLOCK OF NE SANDY BLVD                                                                                       ,18-119412,Property,Kerns,3/27/2018,3/1/2018,1518,Fraud Offenses,1,False Pretenses/Swindle/Confidence Game
2700 BLOCK OF NE SANDY BLVD                                                                                       ,18-119412,Property,Kerns,3/27/2018,3/1/2018,1518,Fraud Offenses,1,Identity Theft
2700 BLOCK OF NE SANDY BLVD                                                                                       ,18-119412,Property,Kerns,3/27/2018,3/1/2018,1518,Motor Vehicle Theft,1,Motor Vehicle Theft
800 BLOCK OF NE HALSEY ST                                                                                        ,18-905436,Property,Lloyd,4/9/2018,4/1/2018,945,Larceny Offenses,1,Theft From Motor Vehicle
,18-X5071476,Property,Hazelwood,4/13/2018,4/1/2018,2102,Vandalism,1,Vandalism
1400 BLOCK OF NW KEARNEY ST                                                                                       ,18-87156,Property,Pearl,3/15/2018,3/1/2018,1930,Motor Vehicle Theft,1,Motor Vehicle Theft
NE SANDY BLVD / NE 25TH AVE,18-88874,Property,Kerns,3/17/2018,3/1/2018,1342,Motor Vehicle Theft,1,Motor Vehicle Theft
1400 BLOCK OF SE MORRISON ST                                                                                      ,18-905257,Property,Buckman East,4/5/2018,4/1/2018,1430,Vandalism,1,Vandalism
1000 BLOCK OF N RIVER ST                                                                                          ,18-114300,Property,Eliot,4/7/2018,4/1/2018,939,Vandalism,1,Vandalism
1000 BLOCK OF N RIVER ST                                                                                          ,18-114300,Property,Eliot,4/7/2018,4/1/2018,939,Burglary,1,Burglary
8300 BLOCK OF SE MCLOUGHLIN BLVD                                                                                  ,18-116843,Property,Ardenwald,4/9/2018,4/1/2018,620,Motor Vehicle Theft,1,Motor Vehicle Theft
0 BLOCK OF SW 1ST AVE                                                                                          ,18-115443,Property,Old Town/Chinatown,4/8/2018,4/1/2018,1120,Robbery,1,Robbery
300 BLOCK OF SE 18TH AVE                                                                                         ,18-905371,Property,Buckman East,4/6/2018,4/1/2018,2230,Larceny Offenses,1,Theft From Motor Vehicle
300 BLOCK OF SE 18TH AVE                                                                                         ,18-905371,Property,Buckman East,4/6/2018,4/1/2018,2230,Larceny Offenses,1,Theft of Motor Vehicle Parts or Accessories
500 BLOCK OF NW 23RD AVE                                                                                         ,18-903861,Property,Northwest,3/11/2018,3/1/2018,1940,Larceny Offenses,1,Theft From Motor Vehicle
900 BLOCK OF NE 110TH AVE                                                                                        ,18-82708,Property,Hazelwood,3/12/2018,3/1/2018,200,Vandalism,1,Vandalism
3000 BLOCK OF NW WILSON ST                                                                                        ,18-903878,Property,Northwest,3/10/2018,3/1/2018,2200,Larceny Offenses,1,All Other Larceny
800 BLOCK OF N JESSUP ST                                                                                         ,18-903874,Property,Humboldt,3/5/2018,3/1/2018,1830,Larceny Offenses,1,All Other Larceny
600 BLOCK OF NW IRVING ST                                                                                        ,18-903896,Property,Old Town/Chinatown,3/10/2018,3/1/2018,1025,Larceny Offenses,1,Theft From Building
500 BLOCK OF SE ASH ST                                                                                           ,18-903931,Property,Buckman West,3/12/2018,3/1/2018,2330,Larceny Offenses,1,Theft From Motor Vehicle
1100 BLOCK OF W BURNSIDE ST                                                                                       ,18-113995,Property,Downtown,4/7/2018,4/1/2018,54,Vandalism,1,Vandalism
,18-X5069093,Property,Glenfair,4/9/2018,4/1/2018,2200,Vandalism,1,Vandalism
10400 BLOCK OF NE PRESCOTT ST                                                                                      ,18-115253,Property,Parkrose,4/8/2018,4/1/2018,0,Larceny Offenses,1,Theft From Motor Vehicle
1700 BLOCK OF SW MORRISON ST                                                                                      ,18-117616,Property,Goose Hollow,4/10/2018,4/1/2018,955,Fraud Offenses,1,False Pretenses/Swindle/Confidence Game
1400 BLOCK OF NW 18TH AVE                                                                                         ,18-116385,Property,Northwest,4/9/2018,4/1/2018,838,Embezzlement,1,Embezzlement
500 BLOCK OF SE PINE ST                                                                                          ,18-903964,Property,Buckman West,3/13/2018,3/1/2018,1210,Larceny Offenses,1,All Other Larceny
500 BLOCK OF SE PINE ST                                                                                          ,18-83801,Property,Buckman West,3/13/2018,3/1/2018,915,Larceny Offenses,1,All Other Larceny
4600 BLOCK OF N TRENTON ST                                                                                        ,18-84874,Property,Portsmouth,3/14/2018,3/1/2018,845,Motor Vehicle Theft,1,Motor Vehicle Theft
7700 BLOCK OF SE REED COLLEGE PL                                                                                  ,18-905308,Property,Eastmoreland,4/6/2018,4/1/2018,1845,Larceny Offenses,1,All Other Larceny
400 BLOCK OF NE 160TH AVE                                                                                        ,18-119765,Property,Glenfair,4/11/2018,4/1/2018,2000,Motor Vehicle Theft,1,Motor Vehicle Theft
300 BLOCK OF SW WASHINGTON ST                                                                                    ,18-905405,Property,Downtown,4/8/2018,4/1/2018,1630,Larceny Offenses,1,Theft From Motor Vehicle
2400 BLOCK OF SE YAMHILL ST                                                                                       ,18-120199,Property,Buckman East,4/12/2018,4/1/2018,508,Motor Vehicle Theft,1,Motor Vehicle Theft
4500 BLOCK OF NE 125TH PL                                                                                         ,18-121112,Property,Argay,4/12/2018,4/1/2018,2030,Motor Vehicle Theft,1,Motor Vehicle Theft
1500 BLOCK OF SW 12TH AVE                                                                                         ,18-115632,Property,Downtown,4/8/2018,4/1/2018,1502,Larceny Offenses,1,All Other Larceny
NE 32ND AVE / NE HANCOCK ST,18-905381,Property,Grant Park,4/8/2018,4/1/2018,2300,Larceny Offenses,1,Theft From Motor Vehicle
NW 19TH AVE / NW LOVEJOY ST,18-114050,Property,Northwest,4/7/2018,4/1/2018,200,Larceny Offenses,1,Theft From Motor Vehicle
SW 2ND AVE / SW MAIN ST,18-118108,Property,Downtown,4/10/2018,4/1/2018,1607,Vandalism,1,Vandalism
200 BLOCK OF SE 160TH AVE                                                                                        ,18-118760,Property,Glenfair,4/10/2018,4/1/2018,2345,Motor Vehicle Theft,1,Motor Vehicle Theft
3900 BLOCK OF N MISSISSIPPI AVE                                                                                   ,18-903779,Property,Boise,3/9/2018,3/1/2018,2100,Larceny Offenses,1,All Other Larceny
0 BLOCK OF N TOMAHAWK ISLAND DR                                                                                ,18-905212,Property,Hayden Island,3/21/2018,3/1/2018,1235,Larceny Offenses,1,All Other Larceny
N INTERSTATE AVE / N WEBSTER ST,18-905225,Property,Overlook,4/4/2018,4/1/2018,1230,Vandalism,1,Vandalism
1500 BLOCK OF N AINSWORTH ST                                                                                      ,18-113108,Property,Arbor Lodge,4/5/2018,4/1/2018,2200,Vandalism,1,Vandalism
5700 BLOCK OF SW DOSCH RD                                                                                         ,18-905360,Property,Hillsdale,4/8/2018,4/1/2018,1320,Larceny Offenses,1,Theft From Motor Vehicle
900 BLOCK OF N RUSSELL ST                                                                                        ,18-905283,Property,Eliot,4/6/2018,4/1/2018,1630,Fraud Offenses,1,Identity Theft
900 BLOCK OF N RUSSELL ST                                                                                        ,18-905283,Property,Eliot,4/6/2018,4/1/2018,1630,Larceny Offenses,1,Theft From Motor Vehicle
4200 BLOCK OF N MISSISSIPPI AVE                                                                                   ,18-905310,Property,Boise,4/7/2018,4/1/2018,200,Vandalism,1,Vandalism
200 BLOCK OF NE COLUMBIA BLVD                                                                                    ,18-116478,Property,Piedmont,4/9/2018,4/1/2018,1006,Counterfeiting/Forgery,1,Counterfeiting/Forgery
1100 BLOCK OF NE 79TH AVE                                                                                         ,18-903974,Property,Montavilla,3/13/2018,3/1/2018,1400,Larceny Offenses,1,All Other Larceny
N KILLINGSWORTH ST / N ALBINA AVE,18-83756,Property,Humboldt,3/13/2018,3/1/2018,300,Motor Vehicle Theft,1,Motor Vehicle Theft
0 BLOCK OF NE 89TH AVE                                                                                         ,18-83388,Property,Montavilla,3/13/2018,3/1/2018,500,Burglary,1,Burglary
3500 BLOCK OF NE 82ND AVE                                                                                         ,18-800787,Property,Roseway,2/21/2018,2/1/2018,1200,Larceny Offenses,1,All Other Larceny
7700 BLOCK OF N HEREFORD AVE                                                                                      ,18-84641,Property,Portsmouth,3/13/2018,3/1/2018,2200,Motor Vehicle Theft,1,Motor Vehicle Theft
100 BLOCK OF SW BROADWAY                                                                                         ,18-905211,Property,Downtown,4/4/2018,4/1/2018,0,Larceny Offenses,1,Theft From Motor Vehicle
1000 BLOCK OF NW 21ST AVE                                                                                         ,18-113754,Property,Northwest,4/6/2018,4/1/2018,2126,Vandalism,1,Vandalism
SE 3RD AVE / SE MORRISON ST,18-905286,Property,Buckman West,4/5/2018,4/1/2018,1830,Larceny Offenses,1,Theft From Motor Vehicle
2000 BLOCK OF SE 171ST AVE                                                                                        ,18-117633,Property,Centennial,4/10/2018,4/1/2018,415,Motor Vehicle Theft,1,Motor Vehicle Theft
4500 BLOCK OF NE 112TH AVE                                                                                        ,18-905361,Property,Parkrose,4/7/2018,4/1/2018,2310,Vandalism,1,Vandalism
1400 BLOCK OF SE BELMONT ST                                                                                       ,18-120133,Property,Buckman East,4/12/2018,4/1/2018,1000,Motor Vehicle Theft,1,Motor Vehicle Theft
10100 BLOCK OF SE WASHINGTON ST                                                                                    ,18-120858,Property,Hazelwood,4/12/2018,4/1/2018,2103,Motor Vehicle Theft,1,Motor Vehicle Theft
SE MILWAUKIE AVE / SE CORA ST,18-114079,Society,Brooklyn,4/7/2018,4/1/2018,312,Drug/Narcotic Offenses,1,Drug/Narcotic Violations
6100 BLOCK OF N GREELEY AVE                                                                                       ,18-117604,Property,Arbor Lodge,4/10/2018,4/1/2018,840,Vandalism,1,Vandalism
5800 BLOCK OF SE TOLMAN ST                                                                                        ,18-117504,Property,Woodstock,4/10/2018,4/1/2018,615,Motor Vehicle Theft,1,Motor Vehicle Theft
1400 BLOCK OF N PRESCOTT ST                                                                                       ,18-905389,Property,Overlook,4/6/2018,4/1/2018,1725,Larceny Offenses,1,All Other Larceny
10100 BLOCK OF NE CASCADES PKWY                                                                                    ,18-905423,Property,,4/9/2018,4/1/2018,1535,Larceny Offenses,1,Theft From Building
1900 BLOCK OF NE 122ND AVE                                                                                        ,18-120528,Property,Russell,4/12/2018,4/1/2018,1230,Motor Vehicle Theft,1,Motor Vehicle Theft
4600 BLOCK OF SE 84TH AVE                                                                                         ,18-905350,Property,Lents,4/7/2018,4/1/2018,100,Larceny Offenses,1,All Other Larceny
SE WOODSTOCK BLVD / SE 52ND AVE,18-117179,Property,Woodstock,4/9/2018,4/1/2018,2115,Motor Vehicle Theft,1,Motor Vehicle Theft
9200 BLOCK OF N CHARLESTON AVE                                                                                    ,18-117600,Property,St Johns,4/9/2018,4/1/2018,300,Motor Vehicle Theft,1,Motor Vehicle Theft
10000 BLOCK OF NE CASCADES PKWY                                                                                    ,18-81292,Property,,3/10/2018,3/1/2018,1000,Motor Vehicle Theft,1,Motor Vehicle Theft
5000 BLOCK OF SE WOODSTOCK BLVD                                                                                   ,18-81647,Property,Woodstock,3/11/2018,3/1/2018,1849,Larceny Offenses,1,All Other Larceny
SE POWELL BLVD / SE 115TH AVE,18-81898,Society,Powellhurst-Gilbert,3/11/2018,3/1/2018,2340,Drug/Narcotic Offenses,1,Drug/Narcotic Violations
2700 BLOCK OF NE 9TH AVE                                                                                          ,18-903910,Property,Irvington,3/9/2018,3/1/2018,2130,Vandalism,1,Vandalism
10000 BLOCK OF NE CASCADES PKWY                                                                                    ,18-115837,Property,,4/8/2018,4/1/2018,1839,Larceny Offenses,1,Theft From Motor Vehicle
7900 BLOCK OF SE 76TH PL                                                                                          ,18-109170,Property,Brentwood-Darlington,4/3/2018,4/1/2018,1019,Vandalism,1,Vandalism
600 BLOCK OF SE GRAND AVE                                                                                        ,18-116157,Property,Buckman West,4/9/2018,4/1/2018,33,Larceny Offenses,1,Shoplifting
800 BLOCK OF NW NAITO PKWY                                                                                       ,18-905216,Property,Old Town/Chinatown,4/5/2018,4/1/2018,200,Larceny Offenses,1,Theft From Motor Vehicle
600 BLOCK OF SW 3RD AVE                                                                                          ,18-905185,Property,Downtown,4/4/2018,4/1/2018,1245,Larceny Offenses,1,Theft From Motor Vehicle
7600 BLOCK OF SE ALDER ST                                                                                         ,18-905334,Property,Montavilla,4/8/2018,4/1/2018,725,Vandalism,1,Vandalism
7700 BLOCK OF SE 13TH AVE                                                                                         ,18-905348,Property,Sellwood-Moreland,4/7/2018,4/1/2018,2129,Larceny Offenses,1,All Other Larceny
300 BLOCK OF SW LINCOLN ST                                                                                       ,18-905259,Property,Downtown,4/6/2018,4/1/2018,330,Vandalism,1,Vandalism
NW NAITO PKWY / NW IRONSIDE TER,18-114717,Property,Old Town/Chinatown,4/7/2018,4/1/2018,1330,Larceny Offenses,1,Theft From Motor Vehicle
13400 BLOCK OF NE WHITAKER WAY                                                                                     ,18-115569,Property,Argay,4/1/2018,4/1/2018,430,Motor Vehicle Theft,1,Motor Vehicle Theft
3500 BLOCK OF N HAIGHT AVE                                                                                        ,18-115364,Property,Boise,3/31/2018,3/1/2018,943,Larceny Offenses,1,All Other Larceny
7800 BLOCK OF SE OAKS PARK WAY                                                                                    ,18-905312,Property,Sellwood-Moreland,4/4/2018,4/1/2018,0,Vandalism,1,Vandalism
7800 BLOCK OF SE OAKS PARK WAY                                                                                    ,18-905312,Property,Sellwood-Moreland,4/4/2018,4/1/2018,0,Larceny Offenses,1,Theft From Coin-Operated Machine or Device
5900 BLOCK OF SE 122ND AVE                                                                                        ,18-118849,Property,Powellhurst-Gilbert,4/10/2018,4/1/2018,2100,Motor Vehicle Theft,1,Motor Vehicle Theft
900 BLOCK OF N HAYDEN ISLAND DR                                                                                  ,18-118835,Property,Hayden Island,4/10/2018,4/1/2018,2100,Motor Vehicle Theft,1,Motor Vehicle Theft
UNKNOWN ADDRESS,18-113042,Property,,3/29/2018,3/1/2018,0,Fraud Offenses,1,Identity Theft
1900 BLOCK OF SE 12TH AVE                                                                                         ,18-905248,Property,Hosford-Abernethy,3/18/2018,3/1/2018,1635,Larceny Offenses,1,Theft From Motor Vehicle
3300 BLOCK OF NE 11TH AVE                                                                                         ,18-905358,Property,Sabin,4/6/2018,4/1/2018,2100,Vandalism,1,Vandalism
1000 BLOCK OF SW GROVER ST                                                                                        ,18-114212,Property,Homestead,3/26/2018,3/1/2018,1200,Fraud Offenses,1,False Pretenses/Swindle/Confidence Game
1000 BLOCK OF SW GROVER ST                                                                                        ,18-114212,Property,Homestead,3/26/2018,3/1/2018,1200,Fraud Offenses,1,Identity Theft
10100 BLOCK OF SE MARKET ST                                                                                        ,18-905263,Property,Hazelwood,4/4/2018,4/1/2018,700,Vandalism,1,Vandalism
UNKNOWN ADDRESS,18-114661,Property,,4/7/2018,4/1/2018,200,Fraud Offenses,1,Credit Card/ATM Fraud
1700 BLOCK OF N TOMAHAWK ISLAND DR                                                                                ,18-80450,Property,Hayden Island,3/10/2018,3/1/2018,1630,Larceny Offenses,1,Shoplifting
UNKNOWN ADDRESS,18-903768,Property,,3/7/2018,3/1/2018,1435,Larceny Offenses,1,All Other Larceny
0 BLOCK OF NE KNOTT ST                                                                                         ,18-77974,Property,Eliot,3/8/2018,3/1/2018,1549,Larceny Offenses,1,Theft From Building
0 BLOCK OF NE KNOTT ST                                                                                         ,18-77974,Property,Eliot,3/8/2018,3/1/2018,1549,Fraud Offenses,1,False Pretenses/Swindle/Confidence Game
0 BLOCK OF NE KNOTT ST                                                                                         ,18-77974,Property,Eliot,3/8/2018,3/1/2018,1549,Fraud Offenses,1,Identity Theft
15500 BLOCK OF SE BELMORE HTS                                                                                      ,18-83356,Property,Pleasant Valley,3/13/2018,3/1/2018,0,Motor Vehicle Theft,1,Motor Vehicle Theft
UNKNOWN ADDRESS,18-903845,Property,,2/24/2018,2/1/2018,35,Larceny Offenses,1,Purse-Snatching
0 BLOCK OF SE MADISON ST                                                                                       ,18-800953,Property,Buckman West,3/1/2018,3/1/2018,1135,Arson,1,Arson
11100 BLOCK OF NE WYGANT ST                                                                                        ,18-115276,Property,Parkrose,4/7/2018,4/1/2018,2300,Vandalism,1,Vandalism
10100 BLOCK OF SE MARKET ST                                                                                        ,18-117952,Property,Hazelwood,4/9/2018,4/1/2018,2200,Motor Vehicle Theft,1,Motor Vehicle Theft
2300 BLOCK OF NW 23RD AVE                                                                                         ,18-903996,Property,Northwest,3/13/2018,3/1/2018,1410,Larceny Offenses,1,Theft From Motor Vehicle
SE HARNEY ST / SE FLAVEL DR,18-905223,Property,Brentwood-Darlington,4/2/2018,4/1/2018,2025,Larceny Offenses,1,All Other Larceny
UNKNOWN ADDRESS,18-905320,Property,,4/7/2018,4/1/2018,2054,Fraud Offenses,1,Hacking/Computer Invasion
UNKNOWN ADDRESS,18-905320,Property,,4/7/2018,4/1/2018,2054,Fraud Offenses,1,Identity Theft
N MACRUM AVE / N OBERLIN ST,18-122537,Property,University Park,4/7/2018,4/1/2018,1,Motor Vehicle Theft,1,Motor Vehicle Theft
3900 BLOCK OF N ALBINA AVE                                                                                        ,18-905477,Property,Boise,3/3/2018,3/1/2018,1643,Larceny Offenses,1,All Other Larceny
6100 BLOCK OF N GREELEY AVE                                                                                       ,18-120446,Property,Arbor Lodge,4/12/2018,4/1/2018,800,Burglary,1,Burglary
6100 BLOCK OF N GREELEY AVE                                                                                       ,18-120446,Property,Arbor Lodge,4/12/2018,4/1/2018,800,Fraud Offenses,1,Identity Theft
5100 BLOCK OF NE 158TH AVE                                                                                        ,18-116410,Property,Wilkes,4/6/2018,4/1/2018,2200,Larceny Offenses,1,Theft of Motor Vehicle Parts or Accessories
11200 BLOCK OF SE DIVISION ST                                                                                      ,18-116555,Property,Powellhurst-Gilbert,4/9/2018,4/1/2018,1120,Fraud Offenses,1,False Pretenses/Swindle/Confidence Game
6900 BLOCK OF NE 15TH AVE                                                                                         ,18-905380,Property,Woodlawn,4/8/2018,4/1/2018,2230,Larceny Offenses,1,Theft From Motor Vehicle
1900 BLOCK OF NE 122ND AVE                                                                                        ,18-119691,Property,Russell,4/11/2018,4/1/2018,1600,Motor Vehicle Theft,1,Motor Vehicle Theft
7000 BLOCK OF NE SANDY BLVD                                                                                       ,18-905466,Property,Roseway,4/10/2018,4/1/2018,1230,Larceny Offenses,1,Shoplifting
3100 BLOCK OF SE POWELL BLVD                                                                                      ,18-85977,Society,Creston-Kenilworth,3/15/2018,3/1/2018,849,Drug/Narcotic Offenses,1,Drug/Narcotic Violations
12100 BLOCK OF SE DIVISION ST                                                                                      ,18-80671,Property,Powellhurst-Gilbert,3/10/2018,3/1/2018,1941,Larceny Offenses,1,Shoplifting
10600 BLOCK OF SE HENDERSON ST                                                                                     ,18-84979,Property,Lents,3/14/2018,3/1/2018,1100,Vandalism,1,Vandalism
300 BLOCK OF NE MULTNOMAH ST                                                                                     ,18-86598,Property,Lloyd,3/9/2018,3/1/2018,1200,Fraud Offenses,1,False Pretenses/Swindle/Confidence Game
1200 BLOCK OF NW MARSHALL ST                                                                                      ,18-85915,Property,Pearl,3/14/2018,3/1/2018,1700,Larceny Offenses,1,Theft From Motor Vehicle
9900 BLOCK OF N VANCOUVER WAY                                                                                     ,18-110889,Property,East Columbia,4/4/2018,4/1/2018,1230,Larceny Offenses,1,Theft From Building
SW 14TH DR / SW LANCASTER RD,18-905412,Property,Marshall Park,3/21/2018,3/1/2018,1200,Fraud Offenses,1,Credit Card/ATM Fraud
SW 14TH DR / SW LANCASTER RD,18-905412,Property,Marshall Park,3/21/2018,3/1/2018,1200,Fraud Offenses,1,Identity Theft
,18-X5071354,Property,Old Town/Chinatown,4/10/2018,4/1/2018,710,Robbery,1,Robbery
3500 BLOCK OF SE 82ND AVE                                                                                         ,18-122795,Property,Foster-Powell,4/14/2018,4/1/2018,1437,Motor Vehicle Theft,1,Motor Vehicle Theft
SE 100TH AVE / SE WASHINGTON ST,18-120106,Property,Hazelwood,4/12/2018,4/1/2018,845,Motor Vehicle Theft,1,Motor Vehicle Theft
13200 BLOCK OF NE WHITAKER WAY                                                                                     ,18-905410,Property,Argay,4/6/2018,4/1/2018,1700,Vandalism,1,Vandalism
500 BLOCK OF SE 76TH AVE                                                                                         ,18-10320,Person,Montavilla,1/10/2018,1/1/2018,1030,Assault Offenses,1,Aggravated Assault
700 BLOCK OF SW 6TH AVE                                                                                          ,18-104731,Person,Downtown,3/30/2018,3/1/2018,1437,Assault Offenses,1,Simple Assault
,18-X5064654,Person,North Tabor,3/31/2018,3/1/2018,1315,Sex Offenses,1,Sodomy
3000 BLOCK OF SE 82ND AVE                                                                                         ,18-106762,Person,Powellhurst-Gilbert,4/1/2018,4/1/2018,330,Assault Offenses,1,Aggravated Assault
3800 BLOCK OF SE FRANCIS ST                                                                                       ,18-100957,Person,Creston-Kenilworth,3/27/2018,3/1/2018,1530,Assault Offenses,1,Intimidation
5200 BLOCK OF SE 82ND AVE                                                                                         ,18-104699,Person,Lents,3/30/2018,3/1/2018,1405,Assault Offenses,1,Aggravated Assault
,18-X5061027,Person,Wilkes,3/23/2018,3/1/2018,800,Assault Offenses,1,Simple Assault
,18-X5061848,Person,Centennial,3/28/2018,3/1/2018,2020,Assault Offenses,1,Simple Assault
5000 BLOCK OF NE ALBERTA ST                                                                                       ,18-10603,Person,Cully,1/10/2018,1/1/2018,1441,Assault Offenses,1,Simple Assault
,18-X5061016,Person,Madison South,3/26/2018,3/1/2018,1200,Assault Offenses,1,Aggravated Assault
200 BLOCK OF NE MARTIN LUTHER KING JR BLVD                                                                       ,18-10185,Person,Kerns,1/10/2018,1/1/2018,815,Assault Offenses,1,Simple Assault
14700 BLOCK OF SE STARK ST                                                                                         ,18-10340,Person,Centennial,1/10/2018,1/1/2018,1101,Assault Offenses,1,Aggravated Assault
1600 BLOCK OF W BURNSIDE ST                                                                                       ,18-105309,Person,Goose Hollow,3/30/2018,3/1/2018,2305,Assault Offenses,1,Simple Assault
,18-X5064674,Person,Homestead,3/29/2018,3/1/2018,2000,Sex Offenses,1,Rape
NW 2ND AVE / W BURNSIDE ST,18-105102,Person,Old Town/Chinatown,3/30/2018,3/1/2018,2136,Assault Offenses,1,Intimidation
,18-X5064192,Person,Centennial,3/31/2018,3/1/2018,233,Assault Offenses,1,Aggravated Assault
8400 BLOCK OF SE INSLEY ST                                                                                        ,18-105878,Person,Lents,3/31/2018,3/1/2018,1141,Assault Offenses,1,Aggravated Assault
,18-X5061955,Person,Brooklyn,3/28/2018,3/1/2018,2315,Assault Offenses,1,Simple Assault
,18-X5061218,Person,Downtown,3/25/2018,3/1/2018,2100,Sex Offenses,1,Fondling
100 BLOCK OF SE 124TH AVE                                                                                        ,18-101268,Person,Hazelwood,3/27/2018,3/1/2018,1850,Assault Offenses,1,Simple Assault
,18-X5061218,Person,Downtown,3/25/2018,3/1/2018,2100,Kidnapping/Abduction,1,Kidnapping/Abduction
SE 82ND AVE / SE BYBEE BLVD,18-102123,Person,Lents,3/28/2018,3/1/2018,1348,Assault Offenses,1,Simple Assault
